post_id,duration,media_type,likes,comments,shares,saves,reach,impressions,caption_length,hashtags_count,followers,traffic_source,engagement_rate,content_category,duration_seconds,engagement_total
IG0000001,25:23,Reel,31627,7559,4530,6393,615036,1007750,1340,3,899,Home Feed,4.972364177623419,Technology,1523,50109
IG0000002,25:23,Photo,63206,3490,1680,6809,1237071,1345900,1351,20,805,Hashtags,5.586224830968126,Fitness,1523,75185
IG0000003,25:23,Reel,94373,3727,1761,8367,1127470,1305369,242,24,758,Reels Feed,8.29098898472386,Beauty,1523,108228
IG0000004,25:23,Reel,172053,7222,2875,9290,764030,897874,446,11,402,External,21.321477178312325,Music,1523,191440
IG0000005,25:23,Video,99646,2703,4444,9746,7004,495406,1905,8,155,Profile,23.523937941809343,Technology,1523,116539
IG0000006,25:23,Carousel,10500,7337,3601,5163,311157,381943,1448,12,904,Reels Feed,6.964651793592237,Photography,1523,26601
IG0000007,25:23,Carousel,193906,6326,4384,5581,277864,690698,904,21,701,Explore,30.432547944253496,Food,1523,210197
IG0000008,25:23,Carousel,27317,3289,2352,11684,1185935,1592082,400,27,894,Profile,2.8040013014405036,Technology,1523,44642
IG0000009,25:23,Photo,90827,6557,570,13750,906114,1110667,236,13,739,Reels Feed,10.057379934759924,Beauty,1523,111704
IG0000010,25:23,Photo,67067,5988,3223,11741,1212435,1556489,1219,29,611,Hashtags,5.654970899248244,Music,1523,88019
IG0000011,25:23,Video,177091,3529,1102,7257,624350,1095641,1521,22,390,Home Feed,17.248259238199374,Fitness,1523,188979
IG0000012,25:23,Reel,75759,2422,2970,7671,1350241,1559059,164,4,240,Hashtags,5.697154501529448,Beauty,1523,88822
IG0000013,25:23,Reel,78492,4567,3686,1694,1223295,1279889,368,20,493,Explore,6.909896092551776,Beauty,1523,88439
IG0000014,25:23,Video,152517,2030,275,12616,837272,1274052,1205,21,792,Reels Feed,13.142163742139253,Food,1523,167438
IG0000015,25:23,Reel,29834,3242,1434,377,119869,377581,539,10,808,Home Feed,9.239606865811574,Lifestyle,1523,34887
IG0000016,25:23,Reel,180946,4638,3852,2095,1713467,2211458,739,12,752,Hashtags,8.660847278130536,Music,1523,191531
IG0000017,25:23,Photo,120368,9052,3429,12079,582403,653331,166,24,920,External,22.182936367629885,Travel,1523,144928
IG0000018,25:23,Reel,180326,9546,2854,11160,1031407,1181707,1979,7,923,Home Feed,17.253515465339547,Beauty,1523,203886
IG0000019,25:23,Photo,111231,6343,209,14970,61120,85737,2062,27,892,External,154.8374680709612,Lifestyle,1523,132753
IG0000020,25:23,Carousel,53222,2548,3798,11000,650215,885482,732,8,216,External,7.969444889901771,Travel,1523,70568
IG0000021,25:23,Carousel,139872,5166,1129,8812,1613651,1722166,111,19,87,External,8.999074421397241,Music,1523,154979
IG0000022,25:23,Photo,179760,1745,4286,13818,57656,115755,401,2,742,Reels Feed,172.44093127726666,Fashion,1523,199609
IG0000023,25:23,Photo,150007,1442,3388,12082,1570109,2036282,999,13,311,Home Feed,8.197243800220205,Photography,1523,166919
IG0000024,25:23,Photo,56044,5321,871,14241,389616,491014,1377,1,64,Profile,15.575319644653717,Lifestyle,1523,76477
IG0000025,25:23,Carousel,141510,4389,2317,10188,1553546,1718024,371,1,394,Profile,9.220127309048069,Comedy,1523,158404
IG0000026,25:23,Video,77071,2115,2268,5573,7054,26092,1067,29,243,Hashtags,333.53901579028053,Fashion,1523,87027
IG0000027,25:23,Carousel,198903,709,2532,7163,1610322,1655482,155,9,925,Reels Feed,12.643266432374379,Photography,1523,209307
IG0000028,25:23,Video,6178,3937,4023,10970,49036,272711,338,21,559,Profile,9.206816006688399,Food,1523,25108
IG0000029,25:23,Photo,83922,9759,4502,10573,450443,741582,2016,26,382,Explore,14.665404500109226,Technology,1523,108756
IG0000030,25:23,Reel,139696,4348,1417,4470,1264626,1289700,1512,3,286,External,11.625261688764828,Fitness,1523,149931
IG0000031,25:23,Video,99119,529,15,14117,1941850,2105234,1844,12,419,Home Feed,5.404624854054229,Comedy,1523,113780
